date,temperature,flower_status
2016/3/28,11.3,0
2016/3/29,12.4,0
2016/3/30,15.6,0
2016/3/31,15.1,0
2016/4/1,13.1,full
2016/4/2,10.7,0
2016/4/3,13.0,0
2016/4/4,16.6,0
2016/4/5,11.0,0
2016/4/6,14.3,0
2016/4/7,14.7,0
2016/4/8,15.8,scatter
2016/4/9,17.3,0
2016/4/10,17.1,0
2016/4/11,12.1,0
2016/4/12,10.3,0
2016/4/13,15.1,0
2016/4/14,15.1,0
2016/4/15,16.6,0
2016/4/16,15.7,0
2016/4/17,19.2,0
2016/4/18,19.1,0
2016/4/19,16.1,0
2016/4/20,14.9,0
2016/4/21,17.6,0
2016/4/22,16.1,0
2016/4/23,17.4,0
2016/4/24,16.0,0
2016/4/25,17.4,0
2016/4/26,19.3,0
2016/4/27,17.8,0
2016/4/28,14.8,0
2016/4/29,16.4,0
2016/4/30,16.3,0
2016/5/1,17.6,0
2016/5/2,16.9,0
2016/5/3,19.9,0
2016/5/4,21.2,0
2016/5/5,22.5,0
2016/5/6,18.7,0
2016/5/7,20.2,0
2016/5/8,21.1,0
2016/5/9,18.3,0
2016/5/10,18.5,0
2016/5/11,22.1,0
2016/5/12,21.5,0
2016/5/13,21.0,0
2016/5/14,19.9,0
2016/5/15,17.2,0
2016/5/16,19.4,0
2016/5/17,19.2,0
2016/5/18,19.8,0
2016/5/19,19.6,0
2016/5/20,17.2,0
2016/5/21,18.8,0
2016/5/22,22.1,0
2016/5/23,23.4,0
2016/5/24,23.4,0
2016/5/25,21.9,0
2016/5/26,22.5,0
2016/5/27,20.5,0
2016/5/28,19.7,0
2016/5/29,21.7,0
2016/5/30,18.1,0
2016/5/31,20.2,0
2017/3/1,6.8,0
2017/3/2,7.6,0
2017/3/3,9.9,0
2017/3/4,9.4,0
2017/3/5,10.6,0
2017/3/6,9.7,0
2017/3/7,7.2,0
2017/3/8,6.3,0
2017/3/9,7.8,0
2017/3/10,8.9,0
2017/3/11,8.1,0
2017/3/12,7.8,0
2017/3/13,8.9,0
2017/3/14,8.6,0
2017/3/15,6.1,0
2017/3/16,8.6,0
2017/3/17,9.7,0
2017/3/18,10.6,0
2017/3/19,12.6,0
2017/3/20,12.6,0
2017/3/21,9.9,0
2017/3/22,10.2,0
2017/3/23,10.1,bloom starts
2017/3/24,9.1,0
2017/3/25,7.9,0
2017/3/26,7.1,0
2017/3/27,5.8,0
2017/3/28,9.1,0
2017/3/29,9.2,0
2017/3/30,11.8,0
2017/3/31,9.9,0
2017/4/1,7.0,0
2017/4/2,8.6,0
2017/4/3,10.3,0
2017/4/4,10.9,0
2017/4/5,14.6,0
2017/4/6,17.3,full
